I am a gardener  and I have been working at a flower shop for about half a year 	I m also a gardener 	How long have you been working at the flower shop 	It s been over a year  What do you do at the flower shop 	3
You look quite tall  are you 1 8 meters tall 	No  I m only 1 5 meters 	How many meters 	Height of 1 8 meters  figure of 1 7 meters  face of 1 5 meters 	1
Do you have your work hours divided into time slots 	From 8 30 in the morning to 4 30 in the afternoon 	Do you have different working hours 	Four public holidays per month  work three hours a day 	3
It seems like you two are very much in love  Do you have children 	Yes  we do  He is three years old now  And you  Are you married too 	It seems like you two are very much in love  Do you have children 	Not yet  I am still in school 	1
I m an administrative assistant  but I hope to retire in five years 	What s your current position then  Also  do administrative assistants need to take any certifications 	Do you know how many years I need to work before retirement 	Are you saying you re still an intern now  So  after graduation  you became an assistant 	1
Yes  what do you do for a living 	I am a student  studying at school  How about you 	Yes  what do you do 	I work in software development  how about you 	1
I see  How many hours do you work each day 	From 10 in the morning to 8 in the evening  with a one hour break at noon 	How many hours do you work each day 	I work in the technical field  12 hours a day  working 20 days a month 	1
 Teacher Yang Liping is my favorite artist  	 She s the best artist I ve ever seen  	 Do you know who my favorite artist is  	 I don t know  Who is it  	2
I don t quite understand what you mean  What kind of water are you talking about 	Water is just regular water  not purified water  Purified water refers to water that is free of contamination 	I don t quite understand what you mean  What kind of water are you referring to 	Tap water and mineral water 	0
I like it  what genre of movies do you like to watch 	I prefer art films  how about you 	I like it  what genre of movies do you get tired of 	I don t like watching art films 	2
 So you must be very busy with work  what do you do to relieve stress  	 Not really  only two hours a day  the rest of the time is for rest  so I just play with my phone  	 How many hours do you work every day  	 Eight hours  but sometimes it s leisurely  sometimes busy  	3
Have you been to this side of Hainan 	No  I don t even know where it is 	Have you been to Hainan 	I have been to Hainan  but I am not very familiar with it because I am not from Hainan 	3
My favorite singer is Zhang Bichen  I like all of her songs 	I also like Zhang Bichen 	Do you know who my favorite singer is 	I don t know 	2
I am a law graduate student  just graduated this year 	Well  then I won t bother you 	Do you know when I graduated 	I don t know  which school are you from 	3
I am an accountant and I work at an accounting firm 	How is the work at the firm  Do you think accounting has a future 	Do you know what industry I am in 	I study finance  do you think working at a firm would be good 	1
Maybe it s because my mother is from Shanghai  I prefer Shanghainese cuisine  so I also like that restaurant more 	Well  actually I don t know what to do 	Do you know whose food I prefer more 	I don t know  but I know what I like to eat  What do you prefer to eat 	2
Are you planning to go home 	Yes  are you coming 	Are you going home 	No  are you 	3
This is indeed very meaningful  Do you often volunteer 	No  this is the first time  I will go more often in the future 	When was the first time you went there 	It was in November last year 	3
I like winter the most 	I also like it 	Do you know what season I like the most 	I guess it s autumn  winter is too cold 	2
I haven t  I m still in school now  What do you do for work 	I sell clothes online  And you 	I m still in school  What do you do 	I m an office clerk  How old are you 	1
Why didn t you continue your studies after graduating from high school  Is there a reason 	I didn t go to high school  I went directly to a vocational college 	Why didn t you go to school after graduating from high school  Do you have no reason 	I didn t go to school after graduating from junior high school 	3
I also quite like eating dumplings  They are very common in our Northeast region 	I m also from the Northeast  but I don t like eating dumplings 	Where are dumplings very common in our place 	I don t know either  I only know that the dumplings here are delicious 	2
I am 77 years old this year and have retired  I was a computer programmer before retirement 	Wow  that s impressive  What do you do for a living 	Do you know how old I am 	I don t know  I just know you are very talented 	1
It s quite close to me  I m from this side of Beijing 	You re from Beijing and you came here 	Do you know which city I m from 	I don t know  where are you from 	1
Your salary seems quite high  what do you do 	I work in finance 	Your salary is also very high  What do you do 	I don t even know what I can do 	1
I m a painter  and I ve been a painter for 5 years 	I m also a painter  Which studio are you in 	Do you know how many years I ve been a painter 	I don t know  I just know you re in the studio 	3
I am too busy with work  and I also have to take care of my child  My child is only three years old this year  and it is the time when he needs someone to look after him 	Then why don t you hire me  I can be your nanny 	Do you know when I had a child 	I do not know 	1
I am playing League of Legends  this is my favorite computer game 	Which server are you on 	Do you know what my favorite computer game is 	I don t know 	2
I don t like winter  It s too cold to bear 	It s getting hot again these days 	Do you know what kind of weather I don t like 	I don t know  tell me 	2
Have you gotten married  And where did you move to 	Not yet  just have the plan 	You got married  Where did you get married 	I got married in Shanghai  how about you 	3
I like to raise dogs  and I met my first and second wife because of raising dogs 	I also like dogs 	Do you know which wife I met because of dogs 	I don t know 	3
How do you usually spend your time 	Reading  playing on my phone  using the computer  sleeping	How do you usually spend your days 	I don t know either  time just flies by	2
Yes  what do you do for work 	I work in a factory  producing electronic products 	Yes  and you  What do you do 	I work at a construction site  doing heavy lifting  Where are you from 	1
On weekdays  how do you usually go to work 	I usually take the company bus 	How do you typically go to work 	I usually take public transportation and then a taxi 	3
Haha  I m still a student  I m a medical school student 	Well  I thought you were a freshman 	Do you know what kind of university I attend 	I don t know  which school are you from 	1
I like eating hot pot  so I ll go to Chongqing first 	Come on  Chongqing welcomes you 	Which city should I go to first 	Go wherever you want to go 	2
I m 30 years old this year  are you a high school student 	I m also 30 this year  haven t graduated yet 	I m 30 years old  Aren t you a high school student 	I mean I haven t gone to college yet 	3
I have never watched such a famous variety show  have you 	I have only watched Chinese talent shows 	Which country has talent shows 	I don t watch variety shows 	3
I also quite like eating sweet and sour fish  it s tangy and sweet  Chinese dishes are really delicious 	I also like sweet and sour fish  and I also like tomato scrambled eggs 	Do you know which country sweet and sour fish comes from 	I don t know  I only know tomato scrambled eggs 	0
I really like G E M  I bought a lot of her electronic albums  and now I have several singles on repeat 	I also like her  Her songs are all very nice to listen to 	Do you know who I really like a lot 	I don t know  I only know you like her a lot 	2
I came back from Japan over ten years ago and now I teach at a high school 	Wow  that s impressive  So  what are you doing now 	Do you know where I come from 	I have no idea  Where do you teach 	3
I work at a company in Chongqing  I really like this place  especially the hotpot 	I also like eating hotpot  Which company are you at in Chongqing 	Do you know where I work 	I don t know  What do you do 	1
We both have it  I grew up in Chengdu 	Oh  I m also from Chengdu and working there now 	Do you know which city I grew up in 	I don t know  I only know you are from Chengdu 	1
 I m 27  you should be older than me  right  	 I m also 27  Older than you  	 How old are you  	 I was born in  91  and you  	1
I like running  and I participate in two marathons each year 	I also like running  but I can t run very fast 	Do you know how many marathons I run in a year 	I know  I also run once a year 	3
I am a law graduate student  just graduated this year 	Alright  I won t bother you then 	Do you know when I graduated 	I graduated in 2014  what is your major 	3
I m watching TV  I m watching  Produce Camp 2020   have you watched this show 	I m watching it too  it s good 	I m watching TV  I m watching  Produce Camp 2020   have you watched this show 	I haven t watched it  I ll go search and watch it 	3
I am from Henan  where are you from 	I am from Hebei  and you 	I am from Henan  Where are you from 	I am from Henan  and you 	1
What kind of work are you doing now 	I m currently working in a foreign company doing finance  how about you 	What kind of work are you doing now 	I work in financial services  are you in Shanghai 	1
I was just kidding  you definitely can t just throw away dogs  they need to be taken care of  When are you getting married 	I still have a long way to go  what about you 	I was just joking  Dogs won t be thrown away  You must keep them  When are you getting married 	I m already married  thank you 	3
I usually like to exercise  and I also go to the gym on weekends 	I also like working out  but I am male 	Do you know when I go to the gym 	I don t know  which gym are you at 	3
I sit in front of the computer for several hours every day  and I don t like my current lifestyle at all 	I don t like it either  But there s nothing I can do 	Do you know how I feel about my current lifestyle 	I don t know  But I know you are happy now 	2
