Do you often go to the gym 	I used to go often  but not much now 	Do you come to the gym often 	I don t go often  I usually work out at home by myself 	3
By the way  where are you from 	I am from Sichuan  what about you 	Just curious  where are you from 	I am from Chongqing  I come from Chongqing	1
By the way  where are you from 	I am from Sichuan  and you 	By the way  where do you come from 	I come from Hubei 	1
By the way  where are you from 	I am from Sichuan  How about you 	Where are you from  by the way 	I am from Anhui  I am currently studying in Chengdu 	1
I watched my favorite movie  From Vegas to Macau  again 	I like it too 	What movie did I watch 	Which one did you watch 	3
Of course not  so you won t chat with me just because I m not from Beijing 	I won t chat with you even if you are from Beijing 	Where are you from 	I m from Earth  are you from the stars 	1
How do you usually spend your time 	Reading  playing on my phone  using the computer  sleeping	How do you usually spend your days 	I don t know either  time just flies by	2
I am in Beijing  where are you 	I am in Beijing  where are you 	I am in Beijing  where are you 	I am in Tianjin  how about you 	1
You must have played a lot of games  right 	I didn t play games  I just did game promotion for a few years 	How many years have you been promoting games 	I do promotion for website development  not games 	3
What are you doing now 	Which university did you graduate from 	What are you doing now 	I am studying environmental art 	1
I am 12 years old this year 	I am 5 years old this year 	Do you know how old I am 	I don t care how old you are  I only know I am 5 years old 	1
Yes  but I hate winter 	I also hate winter  but I hate summer the most 	Do you know what I hate 	I don t know  you can tell me 	2
Yes  but I hate winter 	I also hate winter  but I hate summer the most 	Do you know what I hate 	I hate the mosquitoes in summer 	2
Yes  but I hate winter 	I also dislike winter  but I hate summer the most 	Do you know what I hate 	Is it the heat that you hate 	2
I m 34 years old this year  been married for several years  and my son is already in third grade 	I m also 34 years old  my son is in first grade  why don t I have a child like you 	When did I have a child 	Isn t your son me 	1
Are you and your girlfriend from the same school 	No  she is in Beijing and I am in Shanghai 	Right 	Yes  she is in Shanghai and I am in Beijing 	1
I m from Northeast China  we re quite far away 	Where are you from 	Do you know which direction of China I come from 	I don t know 	1
Do you want to see them 	I want to see the ones you took 	I took a lot of photos  Don t you want to see them 	I don t want to see them 	2
Sure  what have you been up to today 	I ve been working today  what about you 	When do you start work 	I m off today  but I ll be working tomorrow 	3
Sure  what have you been up to today 	I ve been working today  what about you 	When do you start work 	Tomorrow morning  what are you up to 	3
